timestamp,fps,object_count,obstacle_detected,person_detected,person_center_x,frame_center_x,distance_ratio,steering_percent,movement_command
2026-03-12 01:40:49,2.10,2,True,True,-1,320,0.0000,0,AVOID
2026-03-12 01:40:50,1.86,2,True,True,-1,320,0.0000,0,AVOID
2026-03-12 01:40:50,2.79,2,True,True,-1,320,0.0000,0,AVOID
2026-03-12 01:40:51,2.84,2,True,True,-1,320,0.0000,0,AVOID
2026-03-12 01:40:51,2.71,2,True,True,-1,320,0.0000,0,AVOID
2026-03-12 01:40:51,2.75,1,False,True,332,320,0.6512,3,MOVE BACKWARD
2026-03-12 01:40:52,2.69,1,False,False,-1,320,0.0000,0,IDLE
2026-03-12 01:40:52,2.77,3,True,False,-1,320,0.0000,0,AVOID
2026-03-12 01:40:52,2.71,2,True,False,-1,320,0.0000,0,AVOID
2026-03-12 01:40:53,2.75,2,True,False,-1,320,0.0000,0,AVOID
2026-03-12 01:40:53,2.86,2,True,False,-1,320,0.0000,0,AVOID
2026-03-12 01:40:54,2.84,1,False,False,-1,320,0.0000,0,IDLE
2026-03-12 01:40:54,2.61,1,False,False,-1,320,0.0000,0,IDLE
2026-03-12 01:40:54,2.69,3,True,True,-1,320,0.0000,0,AVOID
2026-03-12 01:40:55,2.68,2,True,True,-1,320,0.0000,0,AVOID
2026-03-12 01:40:55,2.74,2,True,True,-1,320,0.0000,0,AVOID
2026-03-12 01:40:56,2.74,1,False,True,289,320,0.6124,9,MOVE BACKWARD
2026-03-12 01:40:56,2.67,1,False,True,286,320,0.6341,10,MOVE BACKWARD
2026-03-12 01:40:56,2.75,1,False,True,285,320,0.7909,10,MOVE BACKWARD
2026-03-12 01:40:57,2.78,2,True,True,-1,320,0.0000,0,AVOID
2026-03-12 01:40:57,2.67,2,True,True,-1,320,0.0000,0,AVOID
2026-03-12 01:40:57,2.68,3,True,True,-1,320,0.0000,0,AVOID
2026-03-12 01:40:58,2.61,1,False,True,288,320,0.6316,10,MOVE BACKWARD
2026-03-12 01:40:58,2.68,1,False,True,291,320,0.5453,9,MOVE BACKWARD
2026-03-12 01:40:59,2.71,1,False,False,-1,320,0.0000,0,IDLE
2026-03-12 01:40:59,2.77,1,False,False,-1,320,0.0000,0,IDLE
2026-03-12 01:40:59,2.70,2,True,False,-1,320,0.0000,0,AVOID
2026-03-12 01:41:00,2.75,2,True,False,-1,320,0.0000,0,AVOID
2026-03-12 01:41:00,2.61,1,False,True,301,320,0.5609,5,MOVE BACKWARD
2026-03-12 01:41:01,2.76,1,False,True,264,320,0.6263,17,MOVE BACKWARD
2026-03-12 01:41:01,2.65,2,False,True,254,320,0.6350,20,MOVE BACKWARD
2026-03-12 01:41:01,2.73,3,True,True,-1,320,0.0000,0,AVOID
2026-03-12 01:41:02,2.75,2,False,True,260,320,0.6584,18,MOVE BACKWARD
2026-03-12 01:41:02,2.72,1,False,False,-1,320,0.0000,0,IDLE
2026-03-12 01:41:02,2.80,1,False,True,374,320,0.5262,16,MOVE BACKWARD
2026-03-12 01:41:03,2.70,1,False,False,-1,320,0.0000,0,IDLE
2026-03-12 01:41:03,2.68,1,False,False,-1,320,0.0000,0,IDLE
2026-03-12 01:41:04,2.89,1,False,True,398,320,0.4024,24,MOVE BACKWARD
2026-03-12 01:41:04,2.73,1,False,False,-1,320,0.0000,0,IDLE
2026-03-12 01:41:04,2.77,2,True,True,-1,320,0.0000,0,AVOID
2026-03-12 01:41:05,2.78,3,True,True,-1,320,0.0000,0,AVOID
2026-03-12 01:41:05,2.76,2,True,True,-1,320,0.0000,0,AVOID
2026-03-12 01:41:06,2.77,1,False,True,250,320,0.6442,21,MOVE BACKWARD
2026-03-12 01:41:06,2.71,1,False,True,224,320,0.5600,30,MOVE BACKWARD
2026-03-12 01:41:06,2.80,2,True,False,-1,320,0.0000,0,AVOID
2026-03-12 01:41:07,2.73,2,True,True,-1,320,0.0000,0,AVOID
2026-03-12 01:41:07,2.71,2,True,False,-1,320,0.0000,0,AVOID
2026-03-12 01:41:07,2.77,2,True,True,-1,320,0.0000,0,AVOID
2026-03-12 01:41:08,2.70,2,True,True,-1,320,0.0000,0,AVOID
2026-03-12 01:41:08,2.80,2,True,True,-1,320,0.0000,0,AVOID
2026-03-12 01:41:09,2.64,2,True,True,-1,320,0.0000,0,AVOID
2026-03-12 01:41:09,2.70,2,True,True,-1,320,0.0000,0,AVOID
2026-03-12 01:41:09,2.72,2,True,True,-1,320,0.0000,0,AVOID
2026-03-12 01:41:10,2.80,2,True,True,-1,320,0.0000,0,AVOID
2026-03-12 01:41:10,2.73,3,True,True,-1,320,0.0000,0,AVOID
2026-03-12 01:41:10,2.71,2,True,True,-1,320,0.0000,0,AVOID
2026-03-12 01:41:11,2.70,2,False,True,257,320,0.6823,19,MOVE BACKWARD
2026-03-12 01:41:11,2.72,2,True,True,-1,320,0.0000,0,AVOID
2026-03-12 01:41:12,2.74,1,False,True,280,320,0.6536,12,MOVE BACKWARD
2026-03-12 01:41:12,2.68,3,True,True,-1,320,0.0000,0,AVOID
2026-03-12 01:41:12,2.83,2,True,True,-1,320,0.0000,0,AVOID
2026-03-12 01:41:13,2.72,2,True,True,-1,320,0.0000,0,AVOID
2026-03-12 01:41:13,2.72,3,True,True,-1,320,0.0000,0,AVOID
2026-03-12 01:41:14,2.75,2,True,True,-1,320,0.0000,0,AVOID
2026-03-12 01:41:14,2.65,2,True,True,-1,320,0.0000,0,AVOID
2026-03-12 01:41:14,2.78,2,True,True,-1,320,0.0000,0,AVOID
2026-03-12 01:41:15,2.76,2,True,True,-1,320,0.0000,0,AVOID
2026-03-12 01:41:15,2.70,2,True,True,-1,320,0.0000,0,AVOID
2026-03-12 01:41:15,2.66,2,True,True,-1,320,0.0000,0,AVOID
2026-03-12 01:41:16,2.77,2,True,False,-1,320,0.0000,0,AVOID
2026-03-12 01:41:16,2.78,2,True,False,-1,320,0.0000,0,AVOID
2026-03-12 01:41:17,2.72,2,True,True,-1,320,0.0000,0,AVOID
2026-03-12 01:41:17,2.71,1,False,True,289,320,0.5699,9,MOVE BACKWARD
2026-03-12 01:41:17,2.77,1,False,True,329,320,0.4722,2,MOVE BACKWARD
2026-03-12 01:41:18,2.75,2,True,True,-1,320,0.0000,0,AVOID
2026-03-12 01:41:18,2.67,1,False,True,362,320,0.3908,13,MOVE BACKWARD
2026-03-12 01:41:18,2.79,3,True,True,-1,320,0.0000,0,AVOID
2026-03-12 01:41:19,2.70,2,True,True,-1,320,0.0000,0,AVOID
2026-03-12 01:41:19,2.79,2,True,True,-1,320,0.0000,0,AVOID
2026-03-12 01:41:20,2.80,1,False,True,367,320,0.3962,14,MOVE BACKWARD
2026-03-12 01:41:20,2.80,1,False,True,380,320,0.3812,18,MOVE BACKWARD
2026-03-12 01:41:20,2.76,2,True,True,-1,320,0.0000,0,AVOID
2026-03-12 01:41:21,2.74,2,True,True,-1,320,0.0000,0,AVOID
2026-03-12 01:41:21,2.73,2,True,True,-1,320,0.0000,0,AVOID
2026-03-12 01:41:22,2.73,2,True,True,-1,320,0.0000,0,AVOID
2026-03-12 01:41:22,2.70,2,True,True,-1,320,0.0000,0,AVOID
2026-03-12 01:41:22,2.74,2,True,True,-1,320,0.0000,0,AVOID
2026-03-12 01:41:23,2.65,2,True,True,-1,320,0.0000,0,AVOID
2026-03-12 01:41:23,2.73,2,True,False,-1,320,0.0000,0,AVOID
2026-03-12 01:41:23,2.81,2,True,True,-1,320,0.0000,0,AVOID
2026-03-12 01:41:24,2.77,2,True,True,-1,320,0.0000,0,AVOID
2026-03-12 01:41:24,2.75,2,True,True,-1,320,0.0000,0,AVOID
2026-03-12 01:41:25,2.75,2,True,True,-1,320,0.0000,0,AVOID
2026-03-12 01:41:25,2.68,2,True,True,-1,320,0.0000,0,AVOID
2026-03-12 01:41:25,2.72,2,True,False,-1,320,0.0000,0,AVOID
2026-03-12 01:41:26,2.78,2,True,False,-1,320,0.0000,0,AVOID
2026-03-12 01:41:26,2.65,2,True,True,-1,320,0.0000,0,AVOID
2026-03-12 01:41:26,2.77,2,True,True,-1,320,0.0000,0,AVOID
2026-03-12 01:41:27,2.68,3,True,True,-1,320,0.0000,0,AVOID
2026-03-12 01:41:27,2.76,2,False,True,391,320,0.3559,22,MOVE BACKWARD
2026-03-12 01:41:28,2.73,1,False,False,-1,320,0.0000,0,IDLE
2026-03-12 01:41:28,2.68,1,False,False,-1,320,0.0000,0,IDLE
2026-03-12 01:41:28,2.71,1,False,True,464,320,0.1812,45,STEER RIGHT
2026-03-12 01:41:29,2.85,2,True,True,-1,320,0.0000,0,AVOID
2026-03-12 01:41:29,2.71,1,False,False,-1,320,0.0000,0,IDLE
2026-03-12 01:41:30,2.81,1,False,True,468,320,0.1605,46,STEER RIGHT
2026-03-12 01:41:30,2.67,2,True,True,-1,320,0.0000,0,AVOID
2026-03-12 01:41:30,2.83,1,False,False,-1,320,0.0000,0,IDLE
2026-03-12 01:41:31,2.76,1,False,False,-1,320,0.0000,0,IDLE
2026-03-12 01:41:31,2.74,1,False,False,-1,320,0.0000,0,IDLE
2026-03-12 01:41:31,2.78,1,False,False,-1,320,0.0000,0,IDLE
2026-03-12 01:41:32,2.78,3,True,True,-1,320,0.0000,0,AVOID
2026-03-12 01:41:32,2.77,2,True,True,-1,320,0.0000,0,AVOID
2026-03-12 01:41:33,2.80,1,False,True,347,320,0.3622,8,MOVE BACKWARD
2026-03-12 01:41:33,2.67,2,True,True,-1,320,0.0000,0,AVOID
2026-03-12 01:41:33,2.73,2,True,False,-1,320,0.0000,0,AVOID
2026-03-12 01:41:34,2.74,2,True,False,-1,320,0.0000,0,AVOID
2026-03-12 01:41:34,2.78,2,True,False,-1,320,0.0000,0,AVOID
2026-03-12 01:41:34,2.78,2,True,True,-1,320,0.0000,0,AVOID
2026-03-12 01:41:35,2.74,2,True,True,-1,320,0.0000,0,AVOID
2026-03-12 01:41:35,2.79,2,True,False,-1,320,0.0000,0,AVOID
2026-03-12 01:41:36,2.80,2,True,True,-1,320,0.0000,0,AVOID
2026-03-12 01:41:36,2.74,2,True,False,-1,320,0.0000,0,AVOID
2026-03-12 01:41:36,2.72,2,True,False,-1,320,0.0000,0,AVOID
2026-03-12 01:41:37,2.74,2,True,False,-1,320,0.0000,0,AVOID
2026-03-12 01:41:37,2.69,2,True,False,-1,320,0.0000,0,AVOID
2026-03-12 01:41:37,2.73,2,True,True,-1,320,0.0000,0,AVOID
2026-03-12 01:41:38,2.81,2,True,True,-1,320,0.0000,0,AVOID
2026-03-12 01:41:38,2.71,2,True,True,-1,320,0.0000,0,AVOID
2026-03-12 01:41:39,2.77,2,True,True,-1,320,0.0000,0,AVOID
2026-03-12 01:41:39,2.76,1,True,False,-1,320,0.0000,0,AVOID
2026-03-12 01:41:39,2.78,1,True,False,-1,320,0.0000,0,AVOID
2026-03-12 01:41:40,2.74,2,True,True,-1,320,0.0000,0,AVOID
2026-03-12 01:41:40,2.75,2,True,True,-1,320,0.0000,0,AVOID
2026-03-12 01:41:40,2.82,2,True,True,-1,320,0.0000,0,AVOID
2026-03-12 01:41:41,2.71,2,True,True,-1,320,0.0000,0,AVOID
2026-03-12 01:41:41,2.77,1,True,False,-1,320,0.0000,0,AVOID
2026-03-12 01:41:42,2.81,1,True,False,-1,320,0.0000,0,AVOID
2026-03-12 01:41:42,2.61,2,True,False,-1,320,0.0000,0,AVOID
2026-03-12 01:41:42,2.79,2,False,True,305,320,0.2805,4,MOVE BACKWARD
2026-03-12 01:41:43,2.81,2,False,False,-1,320,0.0000,0,IDLE
2026-03-12 01:41:43,2.75,1,False,True,366,320,0.6652,14,MOVE BACKWARD
2026-03-12 01:41:43,2.71,1,False,True,361,320,0.7028,12,MOVE BACKWARD
2026-03-12 01:41:44,2.66,1,False,True,339,320,0.7639,5,MOVE BACKWARD
2026-03-12 01:41:44,2.82,1,False,True,326,320,0.8086,1,MOVE BACKWARD
2026-03-12 01:41:45,2.79,1,False,True,321,320,0.8472,0,MOVE BACKWARD
2026-03-12 01:41:45,2.77,1,False,True,318,320,0.8045,0,MOVE BACKWARD
2026-03-12 01:41:45,2.72,1,False,True,337,320,0.6825,5,MOVE BACKWARD
2026-03-12 01:41:46,2.73,1,False,True,349,320,0.4630,9,MOVE BACKWARD
2026-03-12 01:41:46,2.76,1,False,True,365,320,0.3424,14,MOVE BACKWARD
2026-03-12 01:41:47,2.76,1,False,False,-1,320,0.0000,0,IDLE
2026-03-12 01:41:47,2.56,1,False,True,366,320,0.3909,14,MOVE BACKWARD
2026-03-12 01:41:47,2.84,1,False,True,347,320,0.6238,8,MOVE BACKWARD
2026-03-12 01:41:48,2.77,1,False,False,-1,320,0.0000,0,IDLE
2026-03-12 01:41:48,2.71,2,True,True,-1,320,0.0000,0,AVOID
2026-03-12 01:41:48,2.76,2,True,True,-1,320,0.0000,0,AVOID
2026-03-12 01:41:49,2.71,3,True,True,-1,320,0.0000,0,AVOID
2026-03-12 01:41:49,2.86,2,True,True,-1,320,0.0000,0,AVOID
2026-03-12 01:41:50,2.73,1,False,True,283,320,0.8859,11,MOVE BACKWARD
2026-03-12 01:41:50,2.67,2,True,True,-1,320,0.0000,0,AVOID
2026-03-12 01:41:50,2.77,2,True,True,-1,320,0.0000,0,AVOID
2026-03-12 01:41:51,2.68,2,True,True,-1,320,0.0000,0,AVOID
2026-03-12 01:41:51,2.71,2,True,True,-1,320,0.0000,0,AVOID
2026-03-12 01:41:52,2.75,2,True,True,-1,320,0.0000,0,AVOID
2026-03-12 01:41:52,2.67,2,True,True,-1,320,0.0000,0,AVOID
2026-03-12 01:41:52,2.70,1,False,True,313,320,0.5322,2,MOVE BACKWARD
2026-03-12 01:41:53,2.70,1,False,False,-1,320,0.0000,0,IDLE
2026-03-12 01:41:53,2.78,1,False,True,303,320,0.6536,5,MOVE BACKWARD
2026-03-12 01:41:53,2.69,1,False,True,317,320,0.9480,0,MOVE BACKWARD
2026-03-12 01:41:54,2.73,1,False,True,320,320,1.0224,0,MOVE BACKWARD
2026-03-12 01:41:54,2.78,1,False,False,-1,320,0.0000,0,IDLE
2026-03-12 01:41:55,2.82,1,False,False,-1,320,0.0000,0,IDLE
2026-03-12 01:41:55,2.67,1,False,False,-1,320,0.0000,0,IDLE
2026-03-12 01:41:55,2.79,1,False,False,-1,320,0.0000,0,IDLE
2026-03-12 01:41:56,2.77,1,False,False,-1,320,0.0000,0,IDLE
2026-03-12 01:41:56,2.71,1,False,True,320,320,0.9333,0,MOVE BACKWARD
2026-03-12 01:41:56,2.72,1,False,True,320,320,1.0042,0,MOVE BACKWARD
