timestamp,fps,object_count,obstacle_detected,person_detected,person_center_x,frame_width,movement_command
2026-03-12 01:23:03,2.09,2,True,True,-1,640,AVOID
2026-03-12 01:23:04,1.96,2,True,True,-1,640,AVOID
2026-03-12 01:23:05,2.75,2,True,True,-1,640,AVOID
2026-03-12 01:23:05,2.80,2,True,True,-1,640,AVOID
2026-03-12 01:23:06,2.70,2,True,True,-1,640,AVOID
2026-03-12 01:23:06,2.68,2,True,True,-1,640,AVOID
2026-03-12 01:23:06,2.72,2,True,True,-1,640,AVOID
2026-03-12 01:23:07,2.70,2,True,True,-1,640,AVOID
2026-03-12 01:23:07,2.62,2,True,True,-1,640,AVOID
2026-03-12 01:23:07,2.89,2,True,True,-1,640,AVOID
2026-03-12 01:23:08,2.79,2,True,True,-1,640,AVOID
2026-03-12 01:23:08,2.82,2,True,True,-1,640,AVOID
2026-03-12 01:23:09,2.76,3,True,True,-1,640,AVOID
2026-03-12 01:23:09,2.68,2,True,True,-1,640,AVOID
2026-03-12 01:23:09,2.74,2,True,True,-1,640,AVOID
2026-03-12 01:23:10,2.79,3,True,True,-1,640,AVOID
2026-03-12 01:23:10,2.82,2,True,True,-1,640,AVOID
2026-03-12 01:23:11,2.82,2,True,True,-1,640,AVOID
2026-03-12 01:23:11,2.71,2,True,True,-1,640,AVOID
2026-03-12 01:23:11,2.81,2,True,True,-1,640,AVOID
2026-03-12 01:23:12,2.76,2,True,True,-1,640,AVOID
2026-03-12 01:23:12,2.69,2,True,True,-1,640,AVOID
2026-03-12 01:23:12,2.79,2,True,False,-1,640,AVOID
2026-03-12 01:23:13,2.77,1,False,False,-1,640,IDLE
2026-03-12 01:23:13,2.74,1,False,False,-1,640,IDLE
2026-03-12 01:23:14,2.83,1,False,False,-1,640,IDLE
2026-03-12 01:23:14,2.71,2,True,False,-1,640,AVOID
2026-03-12 01:23:14,2.81,2,True,True,-1,640,AVOID
2026-03-12 01:23:15,2.82,1,False,True,331,640,MOVE FORWARD
2026-03-12 01:23:15,2.71,1,False,True,310,640,MOVE FORWARD
2026-03-12 01:23:15,2.83,1,False,True,307,640,MOVE FORWARD
2026-03-12 01:23:16,2.79,2,True,False,-1,640,AVOID
2026-03-12 01:23:16,2.75,1,False,True,336,640,MOVE FORWARD
2026-03-12 01:23:17,2.70,2,True,True,-1,640,AVOID
2026-03-12 01:23:17,2.67,2,True,True,-1,640,AVOID
2026-03-12 01:23:17,2.83,2,True,True,-1,640,AVOID
2026-03-12 01:23:18,2.84,2,True,True,-1,640,AVOID
2026-03-12 01:23:18,2.76,2,True,True,-1,640,AVOID
2026-03-12 01:23:18,2.73,2,True,True,-1,640,AVOID
2026-03-12 01:23:19,2.83,2,True,True,-1,640,AVOID
2026-03-12 01:23:19,2.72,2,True,True,-1,640,AVOID
2026-03-12 01:23:20,2.77,2,True,True,-1,640,AVOID
2026-03-12 01:23:20,2.76,2,True,True,-1,640,AVOID
2026-03-12 01:23:20,2.77,2,True,False,-1,640,AVOID
2026-03-12 01:23:21,2.73,2,True,True,-1,640,AVOID
2026-03-12 01:23:21,2.64,2,False,True,355,640,MOVE FORWARD
2026-03-12 01:23:21,2.81,1,False,True,357,640,MOVE FORWARD
2026-03-12 01:23:22,2.83,1,False,False,-1,640,IDLE
2026-03-12 01:23:22,2.68,2,False,False,-1,640,IDLE
2026-03-12 01:23:23,2.83,2,True,False,-1,640,AVOID
2026-03-12 01:23:23,2.69,1,False,True,326,640,MOVE FORWARD
2026-03-12 01:23:23,2.71,1,False,True,337,640,MOVE FORWARD
2026-03-12 01:23:24,2.75,2,True,True,-1,640,AVOID
2026-03-12 01:23:24,2.72,2,True,True,-1,640,AVOID
2026-03-12 01:23:24,2.76,2,True,True,-1,640,AVOID
2026-03-12 01:23:25,2.61,3,True,True,-1,640,AVOID
2026-03-12 01:23:25,2.74,2,True,True,-1,640,AVOID
2026-03-12 01:23:26,2.80,2,True,True,-1,640,AVOID
2026-03-12 01:23:26,2.73,2,True,True,-1,640,AVOID
2026-03-12 01:23:26,2.83,2,True,True,-1,640,AVOID
2026-03-12 01:23:27,2.78,2,True,True,-1,640,AVOID
2026-03-12 01:23:27,2.65,2,True,True,-1,640,AVOID
2026-03-12 01:23:27,2.79,2,True,True,-1,640,AVOID
2026-03-12 01:23:28,2.69,2,True,True,-1,640,AVOID
2026-03-12 01:23:28,2.73,2,True,True,-1,640,AVOID
2026-03-12 01:23:29,2.79,2,True,True,-1,640,AVOID
2026-03-12 01:23:29,2.74,2,True,True,-1,640,AVOID
2026-03-12 01:23:29,2.76,3,True,True,-1,640,AVOID
2026-03-12 01:23:30,2.79,2,True,True,-1,640,AVOID
2026-03-12 01:23:30,2.78,2,True,True,-1,640,AVOID
2026-03-12 01:23:31,2.74,2,True,True,-1,640,AVOID
2026-03-12 01:23:31,2.74,2,True,True,-1,640,AVOID
2026-03-12 01:23:31,2.74,2,True,True,-1,640,AVOID
2026-03-12 01:23:32,2.70,2,True,True,-1,640,AVOID
2026-03-12 01:23:32,2.63,2,True,True,-1,640,AVOID
2026-03-12 01:23:32,2.76,2,True,True,-1,640,AVOID
2026-03-12 01:23:33,2.72,2,True,False,-1,640,AVOID
2026-03-12 01:23:33,2.80,2,True,False,-1,640,AVOID
2026-03-12 01:23:34,2.68,2,True,True,-1,640,AVOID
2026-03-12 01:23:34,2.74,2,True,True,-1,640,AVOID
2026-03-12 01:23:34,2.72,2,True,True,-1,640,AVOID
2026-03-12 01:23:35,2.77,2,True,True,-1,640,AVOID
2026-03-12 01:23:35,2.65,2,True,True,-1,640,AVOID
2026-03-12 01:23:35,2.77,2,True,True,-1,640,AVOID
2026-03-12 01:23:36,2.66,2,True,True,-1,640,AVOID
2026-03-12 01:23:36,2.80,2,True,True,-1,640,AVOID
2026-03-12 01:23:37,2.70,2,True,True,-1,640,AVOID
2026-03-12 01:23:37,2.70,1,False,True,401,640,MOVE FORWARD
2026-03-12 01:23:37,2.75,2,True,True,-1,640,AVOID
2026-03-12 01:23:38,2.78,2,True,True,-1,640,AVOID
2026-03-12 01:23:38,2.74,2,True,False,-1,640,AVOID
2026-03-12 01:23:39,2.79,2,True,True,-1,640,AVOID
2026-03-12 01:23:39,2.71,1,False,True,378,640,MOVE FORWARD
2026-03-12 01:23:39,2.79,1,False,True,344,640,MOVE FORWARD
2026-03-12 01:23:40,2.83,1,False,True,334,640,MOVE FORWARD
2026-03-12 01:23:40,2.73,1,False,True,330,640,MOVE FORWARD
2026-03-12 01:23:40,2.73,1,False,True,330,640,MOVE FORWARD
2026-03-12 01:23:41,2.77,1,False,False,-1,640,IDLE
2026-03-12 01:23:41,2.79,2,True,True,-1,640,AVOID
2026-03-12 01:23:42,2.75,2,True,True,-1,640,AVOID
2026-03-12 01:23:42,2.66,2,True,True,-1,640,AVOID
2026-03-12 01:23:42,2.77,2,True,True,-1,640,AVOID
2026-03-12 01:23:43,2.66,2,True,True,-1,640,AVOID
2026-03-12 01:23:43,2.73,2,True,True,-1,640,AVOID
2026-03-12 01:23:43,2.69,3,True,True,-1,640,AVOID
2026-03-12 01:23:44,2.72,2,True,False,-1,640,AVOID
2026-03-12 01:23:44,2.79,3,True,True,-1,640,AVOID
2026-03-12 01:23:45,2.80,3,True,True,-1,640,AVOID
2026-03-12 01:23:45,2.69,3,True,False,-1,640,AVOID
2026-03-12 01:23:45,2.78,1,False,True,318,640,MOVE FORWARD
2026-03-12 01:23:46,2.79,1,False,True,290,640,MOVE FORWARD
2026-03-12 01:23:46,2.70,1,False,True,273,640,MOVE FORWARD
2026-03-12 01:23:46,2.79,1,False,True,299,640,MOVE FORWARD
2026-03-12 01:23:47,2.68,2,True,True,-1,640,AVOID
2026-03-12 01:23:47,2.80,2,True,True,-1,640,AVOID
2026-03-12 01:23:48,2.66,2,True,True,-1,640,AVOID
2026-03-12 01:23:48,2.66,2,True,True,-1,640,AVOID
2026-03-12 01:23:48,2.76,1,False,True,375,640,MOVE FORWARD
2026-03-12 01:23:49,2.80,2,True,True,-1,640,AVOID
2026-03-12 01:23:49,2.66,2,True,True,-1,640,AVOID
2026-03-12 01:23:50,2.71,1,False,True,383,640,MOVE FORWARD
2026-03-12 01:23:50,2.60,2,True,True,-1,640,AVOID
2026-03-12 01:23:50,2.80,1,False,True,381,640,MOVE FORWARD
2026-03-12 01:23:51,2.72,2,True,True,-1,640,AVOID
2026-03-12 01:23:51,2.73,2,True,True,-1,640,AVOID
2026-03-12 01:23:51,2.71,2,True,True,-1,640,AVOID
2026-03-12 01:23:52,2.69,1,False,True,320,640,MOVE FORWARD
2026-03-12 01:23:52,2.78,2,False,True,325,640,MOVE FORWARD
2026-03-12 01:23:53,2.76,1,False,True,342,640,MOVE FORWARD
2026-03-12 01:23:53,2.75,2,True,False,-1,640,AVOID
2026-03-12 01:23:53,2.74,2,True,False,-1,640,AVOID
2026-03-12 01:23:54,2.77,2,True,False,-1,640,AVOID
2026-03-12 01:23:54,2.74,1,False,True,309,640,MOVE FORWARD
2026-03-12 01:23:54,2.83,2,True,True,-1,640,AVOID
2026-03-12 01:23:55,2.71,2,True,True,-1,640,AVOID
2026-03-12 01:23:55,2.70,2,True,True,-1,640,AVOID
2026-03-12 01:23:56,2.75,2,True,True,-1,640,AVOID
2026-03-12 01:23:56,2.74,2,True,True,-1,640,AVOID
2026-03-12 01:23:56,2.77,1,False,True,339,640,MOVE FORWARD
2026-03-12 01:23:57,2.82,1,False,True,331,640,MOVE FORWARD
2026-03-12 01:23:57,2.75,2,True,True,-1,640,AVOID
2026-03-12 01:23:58,2.75,3,True,True,-1,640,AVOID
2026-03-12 01:23:58,2.68,2,True,True,-1,640,AVOID
2026-03-12 01:23:58,2.74,2,True,True,-1,640,AVOID
2026-03-12 01:23:59,2.67,2,True,True,-1,640,AVOID
2026-03-12 01:23:59,2.75,2,True,True,-1,640,AVOID
2026-03-12 01:23:59,2.75,1,False,True,305,640,MOVE FORWARD
2026-03-12 01:24:00,2.73,2,True,True,-1,640,AVOID
2026-03-12 01:24:00,2.75,2,True,True,-1,640,AVOID
2026-03-12 01:24:01,2.71,2,True,True,-1,640,AVOID
2026-03-12 01:24:01,2.62,2,True,True,-1,640,AVOID
2026-03-12 01:24:01,2.75,1,False,True,296,640,MOVE FORWARD
2026-03-12 01:24:02,2.68,2,True,True,-1,640,AVOID
2026-03-12 01:24:02,2.71,2,True,True,-1,640,AVOID
2026-03-12 01:24:03,2.72,2,True,True,-1,640,AVOID
2026-03-12 01:24:03,2.64,2,True,True,-1,640,AVOID
2026-03-12 01:24:03,2.67,2,True,True,-1,640,AVOID
2026-03-12 01:24:04,2.71,2,True,True,-1,640,AVOID
2026-03-12 01:24:04,2.70,2,True,True,-1,640,AVOID
2026-03-12 01:24:04,2.77,2,True,True,-1,640,AVOID
2026-03-12 01:24:05,2.76,2,True,True,-1,640,AVOID
2026-03-12 01:24:05,2.70,2,True,True,-1,640,AVOID
2026-03-12 01:24:06,2.76,2,True,True,-1,640,AVOID
2026-03-12 01:24:06,2.70,2,True,True,-1,640,AVOID
2026-03-12 01:24:06,2.83,2,True,True,-1,640,AVOID
2026-03-12 01:24:07,2.78,2,True,True,-1,640,AVOID
2026-03-12 01:24:07,2.64,2,True,True,-1,640,AVOID
2026-03-12 01:24:07,2.76,2,True,True,-1,640,AVOID
2026-03-12 01:24:08,2.70,2,True,True,-1,640,AVOID
2026-03-12 01:24:08,2.81,2,True,True,-1,640,AVOID
2026-03-12 01:24:09,2.75,2,True,True,-1,640,AVOID
2026-03-12 01:24:09,2.71,2,True,True,-1,640,AVOID
2026-03-12 01:24:09,2.72,2,True,True,-1,640,AVOID
2026-03-12 01:24:10,2.81,2,True,True,-1,640,AVOID
2026-03-12 01:24:10,2.75,2,True,True,-1,640,AVOID
2026-03-12 01:24:10,2.80,2,True,True,-1,640,AVOID
2026-03-12 01:24:11,2.68,2,True,True,-1,640,AVOID
2026-03-12 01:24:11,2.68,2,True,True,-1,640,AVOID
2026-03-12 01:24:12,2.71,2,True,True,-1,640,AVOID
2026-03-12 01:24:12,2.74,2,True,True,-1,640,AVOID
2026-03-12 01:24:12,2.77,2,True,True,-1,640,AVOID
2026-03-12 01:24:13,2.67,2,True,True,-1,640,AVOID
2026-03-12 01:24:13,2.80,2,True,True,-1,640,AVOID
2026-03-12 01:24:14,2.64,2,True,True,-1,640,AVOID
2026-03-12 01:24:14,2.69,2,True,True,-1,640,AVOID
2026-03-12 01:24:14,2.78,2,True,True,-1,640,AVOID
2026-03-12 01:24:15,2.77,2,True,True,-1,640,AVOID
2026-03-12 01:24:15,2.72,2,True,True,-1,640,AVOID
2026-03-12 01:24:15,2.68,2,True,True,-1,640,AVOID
2026-03-12 01:24:16,2.79,2,True,True,-1,640,AVOID
2026-03-12 01:24:16,2.73,2,True,True,-1,640,AVOID
2026-03-12 01:24:17,2.73,2,True,True,-1,640,AVOID
2026-03-12 01:24:17,2.70,2,True,True,-1,640,AVOID
2026-03-12 01:24:17,2.75,2,True,True,-1,640,AVOID
2026-03-12 01:24:18,2.76,2,True,True,-1,640,AVOID
2026-03-12 01:24:18,2.74,2,True,True,-1,640,AVOID
2026-03-12 01:24:18,2.68,2,True,True,-1,640,AVOID
2026-03-12 01:24:19,2.66,2,True,True,-1,640,AVOID
2026-03-12 01:24:19,2.79,2,True,True,-1,640,AVOID
2026-03-12 01:24:20,2.78,2,True,True,-1,640,AVOID
2026-03-12 01:24:20,2.66,2,True,True,-1,640,AVOID
2026-03-12 01:24:20,2.83,2,True,True,-1,640,AVOID
2026-03-12 01:24:21,2.73,2,True,True,-1,640,AVOID
2026-03-12 01:24:21,2.64,2,True,True,-1,640,AVOID
2026-03-12 01:24:22,2.73,2,True,True,-1,640,AVOID
